id,role,company_id,name_cleaned
198,Other,99,Brandon Jeon
199,CTO,99,Harry Kim
200,Other,101,Ryan Neu
201,CEO,103,Zahir Dossa
202,Chief,103,Hien Kaplan
203,COO,103,Joshua Maciejewski
204,,104,Anderson Sumarli
205,,104,Yada Piyajomkwan
206,CEO,105,Jordan Fisher
207,Other,105,John Novak
208,COO,105,Michael Suswal
209,Other,105,David Valdman
210,Other,106,Oguzhan Atay
211,CTO,106,David Tsao
212,,107,Emmett Shear
213,COO,108,Ravi Parikh
214,CEO,108,Matin Movassate
215,Other,109,Fabian Gomez Gutierrez
216,,110,Roy Chung
217,,110,Ray Li
218,CEO,110,Tim Zheng
219,CTO,111,Ralph Gootee
220,,111,Ryan Sutton-Gee
221,CEO,111,Tracy Young
222,Other,112,Aadit Palicha
223,Other,112,Kaivalya Vohra
224,,113,Maximiliano Casal
225,CEO,113,Alfonso De Los Rios Villarreal
226,CEO,114,Keith Ryu
227,Other,115,Haya Abdalla
228,Other,115,Amjad Masad
229,,116,Harshita Arora
230,,116,Vignan Velivela
231,CEO,117,Swapnil Jain
232,Other,117,Sharath Keshava Narayana
233,Other,117,Akash Singh
234,CEO,118,Kyle Mack
235,Other,118,Kurt Ruppel
236,CEO,119,Songe Laron
237,President,119,Dave Salvant
238,Other,120,Ariel Katz
239,Other,120,Ian Sax
240,Other,121,Luana Lopes Lara
241,Other,121,Tarek Mansour
242,CCO,122,Urska Srsen
243,,122,Sandro Mur
244,CTO,123,Joshua Augustin
245,CEO,123,Moawia Eldeeb
246,Other,124,Kumail Jaffer
247,Other,124,Phillip Wang
248,,125,Paul Copplestone
249,,125,Anthony Wilson
250,President,126,Xan Tanner
251,CEO,126,Aaron Feuer
252,CEO,127,Joris Poort
253,CTO,127,Adam Mckenzie
254,CEO,128,Joe Ariel
255,President,128,Joel Gillman
256,CTO,128,Trevor Stow
257,Other,128,Vanessa Torrivilla
258,Other,129,Budi Handoko
259,Other,129,Phil Opamuratawongse
260,,130,Alexis Patjane
261,CEO,131,Chris Best
262,COO,131,Hamish Mckenzie
263,,131,Jairaj Sethi
264,,132,Colin Turner
265,,132,Alex Beller
266,CEO,132,Adam Turner
267,Other,133,Dhanesh Kumar
268,CEO,133,Ravish Naresh
269,Other,133,Ashish Sonone
270,Other,134,Nikhil Mathew
271,Other,134,Jaleh Rezaei
272,CEO,135,William Patterson
273,COO,135,Sofia Pessanha
274,Other,136,Esteban Castaño
275,Other,136,Rahul Raina
276,,137,Nick Raushenbush
277,CEO,137,Finbarr Taylor
278,CEO,138,Sumir Meghani
279,Other,139,Jefriyanto
280,Other,139,Hendra Kwik
281,Other,139,Ricky Winata
282,CEO,140,Sam Hodges
283,CTO,141,Nate Smith
284,COO,142,Adam Hansmann
285,CEO,142,Alex Mather
286,CEO,143,Art Agrawal
287,CTO,143,Musawir Shah
288,President,143,Lina Zhang
289,CEO,144,Zach Sims
290,,145,Yoshi Yokokawa
291,CTO,145,Hitoshi Harada
292,Other,146,Phaedra Ellis-Lamkins
293,Other,146,Diana Frappier
294,COO,147,Troy Demmer
295,CEO,147,Jake Loosararian
296,CTO,148,Nikita Shamgunov
297,CEO,149,Joey Grassia
298,CEO,149,Alvin Salehi
299,,150,Mohandass Kalaichelvan
300,,150,Isaq Ahmed Mukthar
301,Other,151,Srivatsan Chari
302,CEO,151,Archit Gupta
303,CTO,151,Ankit Solanki
304,,152,Alexander Meek
305,,152,Paul Huelskamp
306,CEO,153,Edwin Olson
307,CTO,154,Viktor Benei
308,,154,Daniel Balla
309,CEO,154,Barnabas Birmacher
310,Other,155,Sam Browne
311,Other,155,Alex Rose
312,,156,Kashish Gupta
313,,156,Tejas Manohar
314,,156,Joshua Curl
315,,157,Drew Durbin
316,,157,Lincoln Quirk
317,CEO,158,Aarjav Trivedi
318,CEO,159,Fredrik Thomassen
319,Other,160,Dan Carroll
320,CEO,160,Tyler Bosmeny
321,CTO,160,Rafael Garcia
322,CEO,161,Trip Adler
323,Other,161,Tikhon Bernstam
324,CEO,162,Abraham Heifets
325,CTO,162,Izhar Wallach
326,Other,163,James Burkhardt
327,Other,163,Tim Griffin
328,CTO,164,Troy Astorino
329,CEO,164,Noga Leviner
330,Other,165,Daryna Kulya
331,CEO,165,Mahyar Raissi
332,CMO,166,Patrick Chandler
333,CEO,166,Khalil Zahar
334,CTO,166,Alexandre Marcotte
335,CEO,167,Omri Mor
336,,167,Tom Harel
337,,168,Jamie Marshall
338,CEO,168,Kevin Tan
339,,169,Muneeb Ali
340,,169,Ryan Shea
341,Other,170,Joao Costa
342,Other,170,Adhemar Milani Neto
343,CEO,171,Magi Richani
344,CTO,172,Todd Persen
345,CTO,172,Paul Dix
346,CEO,173,Leore Avidar
347,Other,173,Harry Zhang
348,,174,Ruben A. Harris
349,,174,Artur Meyster
350,,174,Timur Meyster
351,CEO,175,Omar Gabr
352,CEO,175,Moataz Soliman
353,Other,176,Kelby Green
354,CEO,176,Dan Ryan
355,Other,177,Joe Root
356,Other,177,Tim Spratt
357,CTO,178,Massimo Andreasi Bassi
358,CEO,178,Matteo Franceschetti
359,CMO,178,Alexandra Zatarain
360,Other,179,Lee Liu
361,Other,179,Chris Nguyen
362,CEO,180,Alex Cyriac
363,COO,180,Shobin Uralil
364,,181,Diego Saez Gil
365,,181,Tomas Aftalion
366,CEO,182,Vivek Ravisankar
367,Other,182,Harishankaran
368,CEO,183,Katherine Homuth
369,,184,Bar Geron
370,,184,Yoni Shuster
371,Other,185,Julien Brissonneau
372,CTO,185,Aymeric Rabot
373,CEO,185,Samir Shah
374,Other,186,Ahmed Beshry
375,CEO,186,Lindon Gao
376,Other,186,Yilin Huang
377,Other,187,Michael Bach
378,CEO,187,Vishal Joshi
379,CTO,187,Kaiwalya Kher
380,CEO,188,Andrew Peek
381,Other,189,Tom Bates
382,Other,189,Steve Domin
383,CTO,190,Ram Jayaraman
384,CEO,190,Bhavuk Kaul
385,COO,191,Keegan Walden
386,CEO,191,Cameron Yarbrough
387,CEO,192,Ian Tien
388,CEO,193,Rajat Suri
389,CEO,194,Pushkar Mukewar
390,CEO,195,Brandon Alexander
391,CTO,195,Jonathan Binney
392,,196,Miguel Carranza
393,,196,Jacob Eiting
394,CEO,197,Gabriel Leydon
395,CTO,197,Halbert Nakagawa
396,Other,197,Mike Sherrill
397,Other,198,Michael Rendy Haryadi Tanuwidjaja
398,Other,198,Steven Wongsoredjo
399,CTO,199,Simon Ratner
400,CEO,199,Denis Mars
401,CEO,200,Misha Esipov
402,COO,200,Nicky Goulimis
403,,201,Christian Van Der Henst
404,CEO,201,Freddy Vega 💚
405,Other,202,Will Kim
406,Other,202,Eric Wei
407,,203,Max Kolysh
408,,203,Anvisha Pai
409,,203,George Carollo
410,CEO,204,Stephen Kuhl
411,,204,Kabeer Chopra
412,Other,205,Ivana Djuretic
413,Other,205,Andy Yeung
414,Other,206,Gaurav Kumar
415,Other,206,Harsh Pokharna
416,Other,206,Aditya Prasad
417,CEO,207,Ryan Chan
418,,208,Pete Koomen
419,CEO,208,Dan Siroker
420,Other,209,Norman Müller
421,Other,209,Rene Serrano
422,,210,Mattan Griffel
423,,210,Zack Gray
424,Other,211,Richard Aberman
425,CEO,211,Bill Clerico
426,Other,212,Jin Stedge
427,Other,212,Sanjaya Wijeratne
428,,213,Nate Fox
429,CEO,213,Nate Maslak
430,,214,Patrick Mrozowski
431,,214,Kenan Pulak
432,,214,Sid Parihar
433,CEO,215,Scott Stephenson
434,CTO,216,Matt Ball
435,CEO,216,Will Patrick
436,CEO,217,David Rabie
437,CTO,217,Bryan Wilcox
438,CEO,218,David Rusenko
439,CTO,218,Chris Fanini
440,Other,218,Dan Veltri
441,CEO,219,Pierre Betouin
442,CTO,219,Jean-Baptiste Aviat
443,CEO,220,Alex Polvi
444,CEO,221,Austen Allred
445,,222,Roger Kirkness
446,,222,Chris Grouchy
447,,223,Auston Bunsen
448,,223,Dmitry Shklovsky
449,,223,Manuel Kreutz
450,,223,Alexander Nabutovsky
451,Other,224,Rafael Stark
452,Other,225,Mostafa Amin
453,Other,225,Muhammad Habib
454,Other,225,Abdallah Nofal
455,Other,226,Orion Henry
456,Other,226,James Lindenbaum
457,CTO,226,Adam Wiggins
458,CEO,227,Igino Cafiero
459,Other,227,Aubrey Donnellan
460,,228,Gregory Rocco
461,,228,Wayne Chang
462,CEO,229,Deepak Chhugani
463,,230,Yin Wu
464,Other,231,Kevin Law
465,Other,231,Sameer Shariff
466,CEO,232,Alice Zhang
467,CEO,233,Yusuf Sherwani
468,,233,Maroof Ahmed
469,Chief,233,Sarim Siddiqui
470,Other,234,Ian Christopher
471,CEO,234,Mudit Garg
472,Other,234,Brent Newhouse
473,President,235,Matthew Mayaki
474,CEO,235,Femi Kuti
475,COO,235,Opeyemi Olumekun
476,CTO,236,Koby Jacob Soto
477,CEO,236,Amiad Soto
478,Other,237,Diego Rey
479,,237,Jason Springs
480,,237,Leonardo Teixeira
481,COO,238,Blake Meulmester
482,CEO,238,Charlie Warren
483,Other,239,Idan Hershko
484,CTO,239,Nir Smadar
485,CEO,239,Dekel Valtzer
486,CTO,240,Neal O'Mara
487,CEO,240,Joseph Walla
488,,241,Giovanni Casinelli
489,CEO,241,Andrea Baronchelli
490,,242,Eric Futoran
491,,242,Fredric Newberg
492,CEO,243,Drodio - Daniel R. Odio
493,Other,243,Ben Mappen
494,CTO,243,Isaac Mosquera
495,Other,244,Tulio Jimenez
496,Other,244,Manuela Sanchez
497,Other,244,Camilo Sanchez
498,,245,Aziz Alghunaim
499,,245,Mahmoud Ghulman
500,Other,246,Kwindla Hultman Kramer
501,,247,Naeem Ahmed
502,,247,Vasil Damyanov
503,,247,John Thomas
504,Other,249,Ted Blosser
505,COO,249,Arsh Mand
506,Other,250,Tom Lemberg
507,Other,251,Vikesh Khanna
508,CEO,251,Shikhar Shrestha
509,CEO,252,Joe Doliner
510,Other,252,Joey Zwicker
511,,253,Ashish Dubey
512,,253,Dheeraj Jain
513,,253,Aditya Kandoi
514,CTO,254,Michael Kong
515,CEO,254,Kestrel Linder
516,,255,Chinmay Chauhan
517,,255,Abhinay Peddisetty
518,CEO,256,Vasco Pedro
519,CTO,256,João Graça
520,Other,256,Bruno Prezado Silva
521,Other,256,Hugo Silva
522,CEO,257,Puneet Mehta
523,CTO,258,Kunaal Naik
524,Other,258,Nisarg Patel
525,CEO,258,Manav Sevak
526,Other,259,Sam Alba
527,Other,259,Solomon Hykes
528,Other,259,Andrea Luzzardi
529,Other,260,Stephen Grabowski
530,Other,260,Joe Sarre
531,CEO,261,Greg Schvey
532,CTO,261,Jeffrey Schvey
533,CEO,262,Jay Reno
534,Other,263,Jordan Gonen
535,Other,263,Jacob Schein
536,Other,264,Dan Lin-Arlow
537,Other,264,Sebastian Palluk
538,Other,265,Reeju Datta
539,Other,265,Akash Sinha
540,CIO,266,Christian Timmerer
541,CEO,266,Stefan Lederer
542,CTO,266,Christopher Mueller
543,CEO,267,Joe Du Bey
544,Other,267,Guy Morita
545,CTO,267,Kyle Wilkinson
546,CEO,268,Pedro Pineda
547,,268,Agustín Feuerhake
548,,268,Omar Larré
549,CTO,268,Andres Marinkovic
550,CEO,269,Conor Murray
551,CTO,269,Phillip Wei
552,Other,270,Carly Leahy
553,CEO,270,Afton Vechery
554,CTO,271,John Backus
555,CEO,271,Alain Meier
556,COO,271,Christopher Morton
557,Other,272,Dylan Fox
558,Other,273,Michael Dwan
559,Other,273,Jerome Gravel-Niquet
560,Other,273,Kurt Mackey
561,Other,273,Thomas Ptacek
562,CEO,274,Sondre Rasch
563,CTO,274,Sarah Sandnes
564,COO,274,Hans Nyvold Kjellby
565,Other,275,Greg Kidd
566,Other,275,Meg Nakamura
567,Other,276,Lauren Frazier
568,Other,276,Andy Tsen
569,Other,277,Eric Yu
570,Other,277,Peter Zhou
571,,278,Lucia Huang
572,,278,Jimmy Qian
573,,279,Aylon Steinhart
574,,279,Thomas Elliott Bowman
575,,280,Nicolas Knockaert
576,,280,Benjamín Labra
577,CEO,281,Shola Akinlade
578,CTO,281,Ezra Olubi
579,Other,282,Alexis Rovner
580,,283,Kevin Bai
581,,283,Victor Cardenas
582,CEO,284,Nouman Ahmad
583,Other,284,Ian Burgess
584,COO,285,Daniel Kivatinos
585,CEO,285,Michael Nusimow
586,Other,286,Tom Feldman
587,Other,286,Andy Lapsa
588,,287,Slava Solonitsyn
589,,287,Dmitry Starodubtsev
590,Other,288,Jeff Berens
591,Other,288,Ryan Johnson
592,,289,Hanna Marie Asmussen
593,,289,Lisa Dahlke
594,,289,Franzi Löw
595,,290,Lluis Canadell
596,,290,Man Hei Lou
597,,291,Dk (Do Kyung) Lee
598,,291,Mark Lee
599,,293,Paul Gross
600,,293,Eric Harding
601,,293,Christina Reynolds
602,,294,Benji Encz
603,,294,Abhik Pramanik
604,Other,295,Abasi Ene-Obong
605,Other,295,Ogochukwu Francis Osifo
606,Other,296,Ife Oyedele Ii
607,Other,296,Obi Ozor
608,Other,297,Brian Gonzalez
609,Other,297,Matthew Lafferty
610,CEO,298,Robin Kim
611,CTO,299,Bede Jordan
612,CEO,299,Stefan Kalb
613,Other,300,Noureddine Tayebi
614,Other,300,El Mahdi Yettou
615,,301,Vicente Zavarce
616,,302,Brian Vallelunga
617,,302,Thomas Piccirello
618,CEO,303,Nick Tommarello
619,CTO,303,Greg Belote
620,Chief,304,Ben Thompson
621,CEO,304,Travis Kimmel
622,Other,305,Abhijeet Dwivedi
623,CTO,305,Laks Srini
624,Other,305,Hari Viswanathan
625,CEO,306,Matt Schiller
626,COO,307,Riku Lindholm
627,CTO,307,Albert Nazander
628,CEO,307,Kristian Ranta
629,,309,Michael Klinker
630,,309,Billy Thalheimer
631,CEO,310,Elizabeth Iorns
632,Other,310,Dan Knox
633,Other,311,Oriol Tintore
634,Other,311,Pablo Viguera
635,Other,312,Ivan Cardenas
636,Other,312,Jasiel Cardenas
637,,313,Allan (Amnon) Fisch
638,,313,Cj Isakow
639,,314,Jonathan Asmis
640,,314,Alex Lofton
641,,315,Francis Plaza
642,,315,Jaime Hing
643,CEO,316,Max Child
644,CTO,316,James Wilsterman
645,,317,Brad Dwyer
646,,317,Joseph Nelson
647,Other,318,Wilson Daniel Martinez
648,Other,318,Felipe Otálora
649,Other,318,Sebastián Valencia
650,,319,James Hawkins
651,,319,Tim Glaser
652,CEO,320,Bo Lu
653,,320,Jon Xu
654,,321,Khaled Kteily
655,,321,Sarah Steinle
656,Other,322,Christian Baroni
657,Other,322,Jin Chung
658,Other,322,Michael Demarais
659,,323,Juan Martin Altamirano
660,,323,Emiliano Segura
661,,323,Agustin Novillo Saravia
662,Other,324,Chris Davlantes
663,,325,Oliver Edholm
664,,325,Anton Osika
665,CTO,326,Pelumi Aboluwarin
666,CEO,326,Yinka Adewale
667,,327,Sambhav Jain
668,,327,Kush Taneja
669,CTO,328,George Melika
670,Other,328,Akbar Thobhani
671,,329,Sam Oshay
672,,330,Jack Chen
673,,330,Pei-Fu Hsieh
674,,330,Sunil Kumar
675,,330,Amit Jangir
676,,330,Bo Li
677,COO,331,Michael Cantalino
678,CEO,331,Francois Chaubard
679,CTO,332,James Cundle
680,CEO,332,Tom Hadfield
681,Chief,333,Andrey Klen
682,CTO,333,Alex (Sasha) Neskin
683,CEO,333,Yaroslav Azhnyuk
684,President,334,Jim Xiao
685,CTO,335,Jason Kraft
686,Other,335,Chris Upjohn
687,CTO,336,Shadi Saberi
688,CEO,336,Maryam Ziaei
689,,337,Jonas Blanck
690,Other,337,Mathias Thulin
691,,337,Carl Carell
692,CEO,337,Samir Smajic
693,CEO,338,Ray Sturm
694,CEO,339,Dmitrii Dumik
695,Other,339,Artem Ptashnik
696,COO,339,Andrew Yaroshevsky
697,CEO,340,Mark Ke
698,,341,Matthew Dukes
699,Other,341,Rachel Vodofsky
700,CEO,342,Rohit Mittal
701,Other,342,Priyank Singh
702,Other,343,Ken Baylor
703,CEO,344,Jesper Theil Thomsen
704,Other,344,Hjalte Emilio Wieth
705,COO,344,Christoffer Nyvold
706,COO,345,Brandon Anderson
707,Other,345,James Barrett
708,CTO,345,Chris Stewart
709,CEO,346,Matthew Sweeny
710,COO,347,Dave Messina
711,Chief,347,Jon Armstrong
712,CEO,347,Jarret Glasscock
713,Other,348,Mattias Lepp
714,CEO,349,Anna Santeramo
715,COO,350,Salvatore Savo
716,CTO,350,Siping Wang
717,Other,351,Chris Glace
718,Other,351,Adam Steinberg
719,COO,352,Jigar Patel
720,CEO,352,Ritesh Patel
721,CEO,353,Robyn Exton
722,Other,354,Travis Chase
723,CEO,354,Dave Gandy
724,Other,355,William Macaskill
725,CEO,355,Benjamin Todd
726,Other,355,Robert Wiblin
727,CEO,356,Mike Allen
728,CTO,356,Mark Godfrey
729,COO,357,Martin Kessler
730,CEO,357,Alexandre Wayenberg
731,Other,358,Mariya Nurislamova
732,CTO,358,Andrei Rebrov
733,CMO,358,Rachel Ten Brink
734,Other,359,Kartik Venkataraman
735,Other,359,Sandeep Srinivasa
736,Other,360,Harrison Steed
737,,360,Austin Steed
738,,361,Nilmi Senaratna
739,,362,Marc Lara
740,CEO,362,Miguel Lara
741,Other,363,Merih Akar
742,Other,363,Ismail Ceylan
743,CEO,363,Pelin Kenez
744,Other,363,Berk Çebi
745,CEO,364,Waqas Ali
746,Other,364,Sidra Qasim
747,CTO,365,Js Boulanger
748,CEO,365,George Favvas
749,CEO,366,Waseem Alim
750,Other,366,Zia Ashraf
751,CTO,366,Tejas Viswanath
752,,367,Chris Field
753,CEO,367,Darby Wong
754,CEO,368,Corey Centen
755,Other,368,Sarah Smith
756,CEO,369,Brian Bennett
757,,370,Fabio Fleitas
758,CEO,370,Carlos Vega
759,CEO,371,Borna Safabakhsh
760,CEO,372,Andy Moon
761,Other,373,Aren Sandersen
762,,374,Tony Lewis
763,CEO,374,Steve Albarran
764,Other,375,Elton Chan
765,Other,375,Jackie Kong
766,Other,375,Matt Li
767,Other,375,Tim Mak
768,CEO,376,Chris Molozian
769,COO,376,Mo Firouz
770,CTO,376,Andrei Mihu
771,CEO,377,Natasha Baker
772,Other,378,Scott Montgomerie
773,President,378,David Nedohin
774,CTO,379,Neil Chudleigh
775,Other,379,Bryn Jones
776,Other,379,Jonathan Mendes
777,Other,379,Luke Swanek
778,CEO,380,Jonathan Friedman
779,CEO,381,Ashley Wong
780,CEO,382,Brett Hagler
781,,382,Alexandria Lafci
782,,382,Matthew Marshall
783,CEO,383,Porter Braswell
784,President,383,Ryan Williams
785,Other,384,Saran Chari
786,Other,384,Joe Greenstein
787,Other,384,Semira Rahemtulla
788,,385,Rehman Merali
789,CEO,386,Jordan Brown
790,Other,386,Eric Kreutzer
791,CTO,387,Guillaume Luccisano
792,CEO,387,Ammon Bartram
793,,388,Brett Gibson
794,,388,Garry Tan
795,CEO,389,Jose M. Mejia Oneto
796,Chief,390,Neema Moraveji
797,CTO,390,Ben Yule
798,CEO,391,Jayant Kulkarni
799,COO,391,Adam Regelmann
800,CEO,392,Eugenia Kuyda
801,CEO,393,Iba Masood
802,CTO,393,Syed Ahmed
803,CEO,394,Kemar Newell
804,,395,Sebastian Punyaratabandhu Bhakdi
805,,395,Prapat Suriyaphol
806,Other,396,Darwin Lo
807,CEO,398,Nick Damiano
808,CTO,398,Shreya Mehta
809,CEO,399,Mark Datta
810,,400,Loren Baxter
811,CEO,400,Arthur Chang
812,,400,Andrew Ng
813,,400,Joe Pestro
814,Other,401,Alfonzo Brooks
815,CEO,401,Frederick Hutson
816,Other,402,Yan Ma
817,CEO,402,Neil Mathew
818,Other,402,Prasenjit Mukherjee
819,Other,403,Aleem Mawani
820,CTO,404,Rick Harrison
821,CEO,404,David Hua
822,,404,Scott A Garman
823,Other,404,Harrison Lee
824,CEO,405,Josh Hubball
825,,405,Damian Sowers
826,CTO,406,Liz Clarke
827,CEO,406,Derek Greenfield
828,Other,406,Noah Helman
829,Other,407,Allan Shin
830,Other,407,Kevin Shin
831,CEO,408,Ayse Akcura
832,Other,408,Tolga Akçura
833,Other,409,Sandip Trivedi
834,CEO,410,William Baron
835,CTO,410,Mark Salpeter
836,CEO,411,Tom Harari
837,CEO,412,Angel Alonso Say
838,,412,Russell Varriale
839,CTO,413,Ben Herila
840,CEO,413,Jeffrey Shaw
841,CEO,414,Bruno Didier
842,CEO,415,Andres Felipe Diaz
843,,415,Carlos Saavedra
844,Other,416,Roy Law
845,CTO,416,Ming Lo
846,Other,416,Jon Yip
847,CEO,417,Wen Sang
848,CTO,417,Maokai Lin
849,Other,418,Kiah J. Williams
850,Other,418,Adam Kircher
851,Other,418,George Wang
852,CEO,419,Mike Mcneil
853,CEO,420,Beth Kolko
854,Other,421,Gregory Koberger
855,Other,422,Ritesh Patel
856,Other,423,Daniel Kobran
857,CEO,423,Dillon Thompson Erb
858,CEO,424,Nick Carson
859,CEO,425,Neil Thanedar
860,CMO,425,Rafael Ferreira
861,CTO,425,Helton Souza
862,CEO,426,Andrew Mccalister
863,CTO,426,Sean Watters
864,Other,427,Vladimir Novosselov
865,Other,427,Mark Prokoudine
866,Other,428,Edwin Broni-Mensah
867,CEO,429,Mike Duncan
868,,430,Dan Burton
869,Other,431,Tiffani Ashley Bell
870,Other,432,Pia Mancini
871,President,432,Santiago Siri
872,CEO,433,George Deglin
873,COO,433,Long Vo
874,,434,Jonah Greenberger
875,CEO,435,Mike Chen
